"","ID","Host.Since","Neighbourhood.Cleansed","Neighbourhood.Group.Cleansed","City","Zipcode","Country","Latitude","Longitude","Property.Type","Room.Type","Accommodates","Bed.Type","Security.Deposit","Cleaning.Fee","Number.of.Reviews","Review.Scores.Rating","Host.Response.Rate","Bathrooms","Bathrooms_decimal","Bedrooms","Beds","Price","Security.Deposit_bool","Cleaning.fee_bool","Calculated.host.listings.count","ano_Host_Since","Neighbourhood.Cleansed_num","Neighbourhood.Group.Cleansed_num","Property.Type_Rec","Property.Type_RecNum","Room.Type_Num","Bed.Type_REC","Bed.Type_ReCNum"
"1",15141125,2009-05-17,"EMBAJADORES","CENTRO","MADRID",28005,"Spain","4.040.745.268.477.800","-37.079.954.754.432.600","LOFT","ENTIRE HOME/APT",1,"REAL BED",0,0,0,20,0,0,"0",0,1,9,0,0,1,2009,49,4,"LOFT",10,1,"REAL BED",1
"2",9470166,2009-06-02,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.040.831.556.101.920","-3.705.006.385.704.200","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,4,0,20,0,0,"0",0,1,9,0,1,1,2009,49,4,"APARTMENT",1,1,"REAL BED",1
"3",17444981,2009-06-02,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","40.413.722.014.584.200","-37.068.231.186.536.700","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,4,0,20,0,0,"0",0,1,10,0,1,1,2009,49,4,"APARTMENT",1,1,"REAL BED",1
"4",3284565,2009-06-02,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","40.411.263.372.718.000","-36.973.054.373.712.800","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",66,5,0,20,0,0,"0",0,1,10,1,1,1,2009,49,4,"APARTMENT",1,1,"REAL BED",1
"5",499911,2009-08-14,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","4.041.255.625.665.070","-3.701.155.364.799.420","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",70,5,0,20,0,0,"0",0,1,10,1,1,1,2009,49,4,"APARTMENT",1,1,"REAL BED",1
"6",1346747,2009-08-30,"EMBAJADORES","CENTRO","MADRID",28005,"Spain","4.040.790.775.263.040","-37.050.953.954.416.300","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",70,5,0,20,0,0,"0",0,1,10,1,1,1,2009,49,4,"APARTMENT",1,1,"REAL BED",1
"7",3097553,2009-11-12,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","40.408.983.157.395.100","-3.698.251.543.680.050","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",70,0,0,20,0,0,"0",0,1,10,1,0,1,2009,49,4,"APARTMENT",1,1,"REAL BED",1
"8",13440784,2009-11-12,"EMBAJADORES","CENTRO","MADRID",28005,"Spain","4.040.835.752.461.160","-3.704.043.265.135.820","APARTMENT","PRIVATE ROOM",1,"REAL BED",0,0,0,20,0,0,"0",0,1,10,0,0,1,2009,49,4,"APARTMENT",1,2,"REAL BED",1
"9",7818234,2009-11-12,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","40.411.622.134.427.200","-3.703.281.054.404.270","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",0,5,0,20,0,0,"0",0,1,10,0,1,1,2009,49,4,"APARTMENT",1,1,"REAL BED",1
"10",1386096,2010-01-13,"EMBAJADORES","CENTRO","MADRID",28012,"Spain","40.407.338.871.766.900","-37.070.192.202.047.300","APARTMENT","ENTIRE HOME/APT",1,"REAL BED",70,0,0,20,0,0,"0",0,1,10,1,0,1,2010,49,4,"APARTMENT",1,1,"REAL BED",1
