ID;Host Since;Host Response Rate;Neighbourhood Cleansed;Neighbourhood Group Cleansed;City;Zipcode;Country;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Security Deposit;Cleaning Fee;Number of Reviews;Review Scores Rating;Calculated host listings count
15141125;20/9/16;100;Embajadores;Centro;Madrid;28005;Spain;4.040.745.268.477.800;-37.079.954.754.432.600;Loft;Entire home/apt;2;1.0;0;1;Real Bed;50;100;20;30;96;2
9470166;8/11/13;100;Embajadores;Centro;Madrid;28012;Spain;4.040.831.556.101.920;-3.705.006.385.704.200;Apartment;Entire home/apt;4;1.0;1;2;Real Bed;50;250;15;97;81;13
17444981;25/2/17;100;Embajadores;Centro;Madrid;28012;Spain;40.413.722.014.584.200;-37.068.231.186.536.700;Apartment;Entire home/apt;4;1.5;1;2;Real Bed;77;;25;7;89;1
3284565;9/3/12;100;Embajadores;Centro;Madrid;28012;Spain;40.411.263.372.718.000;-36.973.054.373.712.800;Apartment;Entire home/apt;2;1.0;1;2;Real Bed;50;200;25;6;93;3
499911;26/5/12;100;Embajadores;Centro;Madrid;28012;Spain;4.041.255.625.665.070;-3.701.155.364.799.420;Apartment;Entire home/apt;5;1.0;2;4;Real Bed;95;200;60;72;97;1
1346747;5/7/13;100;Embajadores;Centro;Madrid;28005;Spain;4.040.790.775.263.040;-37.050.953.954.416.300;Apartment;Entire home/apt;4;1.0;1;2;Real Bed;69;120;25;27;91;1
3097553;10/5/14;50;Embajadores;Centro;Madrid;28012;Spain;40.408.983.157.395.100;-3.698.251.543.680.050;Apartment;Entire home/apt;2;1.0;1;1;Real Bed;70;150;;11;100;1
13440784;9/6/16;;Embajadores;Centro;Madrid;28005;Spain;4.040.835.752.461.160;-3.704.043.265.135.820;Apartment;Private room;2;1.5;1;1;Real Bed;30;;;2;80;2
7818234;26/2/13;100;Embajadores;Centro;Madrid;28012;Spain;40.411.622.134.427.200;-3.703.281.054.404.270;Apartment;Entire home/apt;4;1.0;1;2;Real Bed;57;;20;9;98;20
1386096;29/5/13;;Embajadores;Centro;Madrid;28012;Spain;40.407.338.871.766.900;-37.070.192.202.047.300;Apartment;Entire home/apt;2;1.0;1;1;Real Bed;59;100;;5;95;1
7907083;17/11/14;100;Embajadores;Centro;Madrid;28012;Spain;4.041.055.884.554.780;-3.706.428.605.664.070;Apartment;Entire home/apt;8;1.5;4;5;Real Bed;160;300;55;25;98;5
14180827;26/7/14;;Embajadores;Centro;Madrid;28012;Spain;4.041.216.293.682.510;-37.018.280.688.881.500;Apartment;Private room;2;1.0;1;1;Real Bed;25;;10;0;;1
